Age Groups,Female,Male,Total,,,,populationin1000sF,populationin1000sM
0-4,33501,35095,68596,,,,152,162
5-9,47788,49962,97750,,,,174,184
10-14,51609,51264,102873,,,,175,182
15-19,57662,49958,107620,,,,153,159
20-24,75967,65935,141902,,,,143,147
25-29,69017,60588,129605,,,,136,141
30-39,142156,118270,260426,,,,354,342
40-49,141199,120245,261444,,,,389,375
50-59,86272,78585,164857,,,,302,299
60-64,28326,27044,55370,,,,127,123
65-69,18479,19546,38025,,,,118,113
70-74,13192,14255,27447,,,,101,96
75-79,9360,9921,19281,,,,70,64
80+,18359,13574,31933,,,,92,66
